linha1
linha2
linha3
b|v|sv|z|sz|m|sm|nd|snd|sd|ssd|nc|snc|sc|ssc|mu|c|f|Q|N|S1|S2
   0.0000000000000000E+000 |  0.98253359375000004      |   8.9336236403631984E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.7466406249999997E-002 |   8.9336236403632016E-004 |  0.65206406250000015      |   3.6368791083066648E-003 |   6.0891406250000023E-002 |   2.3442407038397448E-003 |  0.60129921875000014      |   4.0905791184640411E-003 |   7.4078125000000009E-002 |   3.6521076962488389E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
   2.0000000000000000E-002 |  0.98228359374999996      |   8.5799640845056209E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.7716406250000000E-002 |   8.5799640845056111E-004 |  0.65176015625000017      |   4.0440265826248659E-003 |   6.0318750000000004E-002 |   2.4235170844443717E-003 |  0.60093671874999988      |   4.1256250266294833E-003 |   7.3506249999999995E-002 |   3.1692045408706262E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
   4.0000000000000001E-002 |  0.98223515625000002      |   7.9270084760208663E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.7764843749999999E-002 |   7.9270084760208414E-004 |  0.65144687500000009      |   3.5479155962515555E-003 |   6.0804687500000010E-002 |   2.6760863192881595E-003 |  0.60107265625000017      |   3.5969602679130699E-003 |   7.3703906250000006E-002 |   3.4663534267442447E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
   5.9999999999999998E-002 |  0.98185624999999987      |   9.3313567475475042E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8143750000000000E-002 |   9.3313567475474858E-004 |  0.65204531250000008      |   3.1581712129262751E-003 |   6.1075781250000009E-002 |   2.5883699143431109E-003 |  0.60111015625000008      |   3.3724408881321156E-003 |   7.3947656250000021E-002 |   2.9937823140544660E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
   8.0000000000000002E-002 |  0.98197187499999983      |   8.2347752511832749E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8028125000000002E-002 |   8.2347752511832423E-004 |  0.65186328124999993      |   4.1605450229141080E-003 |   6.0668750000000000E-002 |   2.6272967073174766E-003 |  0.60104609374999995      |   3.8343562964346200E-003 |   7.3733593749999993E-002 |   2.8562257461018934E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.10000000000000001      |  0.98159843749999998      |   8.7955149925615596E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8401562500000000E-002 |   8.7955149925615487E-004 |  0.65254531250000014      |   3.2197487831448057E-003 |   6.0107812500000010E-002 |   2.1287243328238282E-003 |  0.60137421875000019      |   3.0209604072590195E-003 |   7.3612500000000011E-002 |   3.1317820936379416E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.12000000000000000      |  0.98175937500000021      |   9.5877424187083751E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8240625000000000E-002 |   9.5877424187083772E-004 |  0.65230859375000005      |   3.8157025003646540E-003 |   6.0146093750000004E-002 |   2.4173446791576005E-003 |  0.60168124999999995      |   3.8367406236649950E-003 |   7.2708593750000008E-002 |   3.3377722011248110E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.14000000000000001      |  0.98186093750000003      |   8.8742434756786278E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8139062500000001E-002 |   8.8742434756786462E-004 |  0.65178984375000004      |   3.8177609225715121E-003 |   6.0383593749999999E-002 |   2.5521739593815525E-003 |  0.60118750000000010      |   4.0070585913719288E-003 |   7.3300000000000004E-002 |   3.9473404441511305E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.16000000000000000      |  0.98191093749999991      |   8.3942904005118463E-004 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8089062500000003E-002 |   8.3942904005118290E-004 |  0.65157031250000008      |   3.2923825286323848E-003 |   6.0309375000000005E-002 |   2.8486590526838238E-003 |  0.60137968749999993      |   3.7625395813947840E-003 |   7.3957031250000013E-002 |   4.3326511335124319E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
  0.17999999999999999      |  0.98173515624999996      |   1.0046914487675165E-003 |   0.0000000000000000E+000 |   0.0000000000000000E+000 |   1.8264843750000002E-002 |   1.0046914487675121E-003 |  0.65067968750000005      |   3.7562285513114712E-003 |   6.0461718749999990E-002 |   3.4159274261412608E-003 |  0.60087812500000004      |   3.8621039820244106E-003 |   7.3687500000000003E-002 |   3.7711318654848180E-003 |  0.80000001192092896      |  0.10000000149011612      |  0.10000000149011612      |         500 |         256 |         100 |          50
